Numero Ticket;ItemID;Item;Fecha Creacion;Fecha Termino;Fecha Cierre;Resumen;Ubicacion;Modo Reporte;Estado;Prioridad
WO0000005675721;5;AIRE ACONDICIONADO;2024-10-07;09/10/2024;12-10-24;REPARAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005675724;108;FOCO FLOURESCENTES;2024-10-07;21/10/2024;24-10-24;REVISAR;DEL AIRE - 193064;Web HD;Cerrado;3
WO0000005675729;108;FOCO FLOURESCENTES;2024-10-07;12/10/2024;15-10-24;CAMBIAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005675731;30;CABLEADO;2024-10-07;;;REVISAR;DEL AIRE - 193064;Web HD;Rechazado;3
WO0000005675794;106;FOCO AHORRADOR;2024-10-07;14/10/2024;17-10-24;CAMBIAR;NICOLAS AYLLON - 191027;Web HD;Cerrado;3
WO0000005676100;111;GRIFERIA;2024-10-07;14/10/2024;17-10-24;REVISAR;NICOLAS AYLLON - 191027;Web HD;Cerrado;3
WO0000005676108;237;TACHO;2024-10-07;16/10/2024;19-10-24;REPARAR;COLLIQUE - 191065;Web HD;Cerrado;3
WO0000005676109;163;PARED;2024-10-07;;;RESANAR;NICOLAS AYLLON - 191027;Web HD;En Curso;3
WO0000005676112;123;INODOROS;2024-10-07;16/10/2024;19-10-24;REVISAR;NICOLAS AYLLON - 191027;Web HD;Cerrado;3
WO0000005676114;111;GRIFERIA;2024-10-07;16/10/2024;19-10-24;REVISAR;NICOLAS AYLLON - 191027;Web HD;Cerrado;3
WO0000005676152;56;CONTADOR DE BILLETES;2024-10-07;;;REPARAR;CHIMPU OCLLO - 191113;Web HD;En Curso;3
WO0000005677973;108;FOCO FLOURESCENTES;2024-10-08;15/10/2024;18-10-24;CAMBIAR;EDUARDO DE HABICH - 191023;Web HD;Cerrado;3
WO0000005677977;252;TUBERIA DE DESAGUE;2024-10-08;16/10/2024;19-10-24;REPARAR;EDUARDO DE HABICH - 191023;Web HD;Cerrado;3
WO0000005678211;69;DETECTOR DE BILLETES;2024-10-08;15/10/2024;18-10-24;REPARAR;EDUARDO DE HABICH - 191023;Web HD;Cerrado;3
WO0000005678238;74;DISPENSADOR DE JABON LIQUIDO;2024-10-08;10/10/2024;13-10-24;REPARAR;LOS ALISOS - 191080;Web HD;Cerrado;3
WO0000005678251;74;DISPENSADOR DE JABON LIQUIDO;2024-10-08;;;REPARAR;NARANJAL - 191141;Web HD;Rechazado;3
WO0000005678254;5;AIRE ACONDICIONADO;2024-10-08;22/10/2024;25-10-24;REPARAR;TUPAC AMARU - 191038;Web HD;Cerrado;3
WO0000005678264;231;STICKER;2024-10-08;;;REPONER;MEGA PLAZA 2 - 191040;Web HD;Rechazado;3
WO0000005678278;231;STICKER;2024-10-08;;;REPONER;MEGA PLAZA 2 - 191040;Web HD;Rechazado;3
WO0000005678518;181;PORTA FOLLETO;2024-10-08;13/10/2024;16-10-24;REPARAR;MEGA PLAZA - 191010;Web HD;Cerrado;3
WO0000005678546;32;CAJA BUZON;2024-10-08;08/10/2024;11-10-24;REPARAR;LA ENSENADA - 191149;Web HD;Cerrado;3
WO0000005678553;108;FOCO FLOURESCENTES;2024-10-08;08/10/2024;11-10-24;CAMBIAR;C.B. FIORI - 191088;Web HD;Cerrado;3
WO0000005678555;108;FOCO FLOURESCENTES;2024-10-08;08/10/2024;11-10-24;CAMBIAR;C.B. FIORI - 191088;Web HD;Cerrado;3
WO0000005678558;108;FOCO FLOURESCENTES;2024-10-08;;;CAMBIAR;C.B. FIORI - 191088;Web HD;Rechazado;3
WO0000005678565;107;FOCO DICROICOS;2024-10-08;08/10/2024;11-10-24;CAMBIAR;C.B. FIORI - 191088;Web HD;Cerrado;3
WO0000005678576;30;CABLEADO;2024-10-08;22/10/2024;25-10-24;REVISAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;3
WO0000005678583;64;CREDENZA;2024-10-08;13/10/2024;16-10-24;REPARAR;MEGA PLAZA 2 - 191040;Web HD;Cerrado;3
WO0000005679202;69;DETECTOR DE BILLETES;2024-10-08;15/10/2024;18-10-24;REPARAR;ANGELICA GAMARRA - 191057;Web HD;Cerrado;3
WO0000005679205;221;SILLAS;2024-10-08;22/10/2024;25-10-24;REPARAR;ANGELICA GAMARRA - 191057;Web HD;Cerrado;3
WO0000005679206;180;PORTA AFICHES;2024-10-08;10/10/2024;13-10-24;REPARAR;PRO - 191029;Web HD;Cerrado;3
WO0000005679256;221;SILLAS;2024-10-08;14/10/2024;17-10-24;REPARAR;ROSA TORO - 193022;Web HD;Cerrado;3
WO0000005679292;139;LONCHERA CERRADURA;2024-10-08;11/10/2024;14-10-24;DUPLICADO DE LLAVE;PLAZA UNION - 191062;Web HD;Cerrado;3
WO0000005679294;154;OFICINA;2024-10-08;16/10/2024;19-10-24;FUMIGAR;C.B. FIORI - 191088;Web HD;Cerrado;3
WO0000005679502;43;CAJONERA CERRADURA;2024-10-08;11/10/2024;14-10-24;APERTURAR;PLAZA UNION - 191062;Web HD;Cerrado;3
WO0000005679524;108;FOCO FLOURESCENTES;2024-10-08;12/10/2024;15-10-24;CAMBIAR;INDEPENDENCIA (LIMA) - 191142;Web HD;Cerrado;3
WO0000005679533;221;SILLAS;2024-10-08;;;LIMPIAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;En Curso;3
WO0000005679538;43;CAJONERA CERRADURA;2024-10-08;13/10/2024;16-10-24;REEMPLAZAR;SAN JUAN DE LURIGANCHO - 191017;Web HD;Cerrado;3
